player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Alex Caruso,carusal01,2023,3274,1575,-0.507253801,5.947729417,5.440475616,1.221988717,5.308633048,6.530621765,-0.142851903,6.133135546,5.990283643,7.039777637,7.039777637,0,-0.263978102,6.359903117,6.095925015,0.23556576
Brook Lopez,lopezbr01,2023,5475,2555,-0.986219971,4.803508999,3.817289028,0.551284304,4.246483303,4.797767607,-0.732841548,4.953425735,4.220584187,9.122900944,8.702533894,0.420367049,-0.468261635,4.711549685,4.243288051,0.283737608
Anthony Davis,davisan02,2023,5327,2512,2.38589145,4.700176892,7.086068342,2.222875962,3.521186469,5.744062431,2.511726349,4.736996561,7.24872291,12.9486932,9.767810382,3.180882814,2.939710495,4.570631837,7.510342332,0.296532141
Joel Embiid,embiijo01,2023,5286,2620,3.955242297,3.961925511,7.917167808,2.071151097,3.723739457,5.794890554,3.724874175,4.101091714,7.825965889,14.22467959,12.82346758,1.401212007,3.938348289,3.533212241,7.471560531,0.463093257
Nikola Jokic,jokicni01,2023,6435,3112,8.961393288,4.308386388,13.26977968,9.417504462,0.28398393,9.701488391,9.522495986,3.696240246,13.21873623,25.86718649,20.31095212,5.556234367,9.32842589,3.641945093,12.97037098,1.533881009
Draymond Green,greendr01,2023,5768,2664,-1.898250511,3.401286994,1.503036484,3.102286549,3.129541315,6.231827865,-0.961476046,3.530403158,2.568927112,7.367836681,6.088289239,1.279547442,-0.800815401,3.163970142,2.363154741,1.3728312
Rudy Gobert,goberru01,2023,4837,2325,-1.620521586,3.807122932,2.186601346,-1.681386413,1.267872331,-0.413514082,-1.718514267,3.50524618,1.786731912,5.326411304,5.24788592,0.078525384,-2.190458576,3.971531697,1.78107312,-0.754736634
Herbert Jones,joneshe01,2023,4036,1951,-1.509443271,3.66025111,2.150807839,2.410618923,1.967407812,4.378026735,-0.782138091,3.494236699,2.712098609,5.437502089,5.437502089,0,-1.286591536,3.817309475,2.530717939,0.009802748
John Konchar,konchjo01,2023,3305,1543,-1.285863689,3.272881132,1.987017444,0.66395767,2.835693288,3.499650958,-0.949175358,3.332749421,2.383574062,4.045222504,3.986989561,0.058232943,-1.045615575,3.668875427,2.623259852,0.036348506
Josh Okogie,okogijo01,2023,3196,1525,-0.229311443,3.195040454,2.965729011,-0.858511329,2.091649457,1.233138128,-0.381368233,3.143219105,2.761850872,4.309246422,4.473974491,-0.164728069,-0.504287165,2.770242155,2.26595499,0.593938075
Walker Kessler,kesslwa01,2023,3600,1703,0.060635223,3.229842467,3.29047769,1.281267967,1.459565832,2.7408338,0.297456334,3.097932798,3.395389133,5.313597149,5.313597149,0,-0.298410181,2.155691612,1.857281431,-0.490549926
Isaiah Hartenstein,harteis01,2023,3824,1846,-1.136173159,3.028785539,1.89261238,-0.206839657,2.194910847,1.98807119,-1.052077526,3.025829619,1.973752093,4.517159646,3.377340661,1.139818986,-0.895859798,2.997794088,2.10193429,-0.071551218
Kevon Looney,looneke01,2023,4890,2283,0.499397347,3.188664807,3.688062154,3.851640833,-0.166882385,3.684758448,1.243693703,2.652139715,3.895833418,7.698439744,6.094441396,1.603998348,0.181699411,3.066121045,3.247820455,-1.208677926
Jaren Jackson Jr.,jacksja02,2023,4310,2007,0.251011748,2.210300227,2.461311974,1.339691726,3.562486312,4.902178038,0.484664691,2.578435734,3.063100425,5.982927408,6.119557127,-0.136629719,0.189279758,2.661046088,2.850325847,0.948478007
Bam Adebayo,adebaba01,2023,6933,3448,-1.905567785,2.343397524,0.437829739,1.584151168,2.634869211,4.219020378,-1.279139764,2.528053482,1.248913718,7.035147702,5.692163679,1.342984023,-0.809323625,2.539525564,1.730201939,-0.443789065
Luguentz Dort,dortlu01,2023,4874,2272,-1.252999514,3.039740738,1.786741224,1.219627555,-0.343194074,0.876433482,-0.815248962,2.509759739,1.694510778,5.186925539,5.186925539,0,-0.79440995,3.201030494,2.406620544,0.68496101
Derrick White,whitede01,2023,6019,2912,1.669940071,2.556053978,4.225994049,2.67024701,1.771956213,4.442203223,1.938167754,2.509252864,4.447420618,10.68571031,9.090793259,1.594917051,1.965707969,2.698546619,4.664254588,-0.359408153
Donte DiVincenzo,divindo01,2023,4626,2129,0.001917337,2.513818311,2.515735649,-1.613544069,1.633424426,0.019880357,-0.332419533,2.46372091,2.131301377,5.344329786,5.267585765,0.076744021,-0.044116307,2.52995601,2.485839703,0.689324015
Nic Claxton,claxtni01,2023,4890,2388,-1.61349763,2.266824105,0.653326475,4.479448871,2.294609831,6.774058702,-0.440591638,2.416752343,1.976160704,5.708393776,5.569318604,0.139075172,-0.291156303,2.663769795,2.372613492,-0.77598692
Clint Capela,capelca01,2023,4036,1881,0.16798813,3.280624064,3.448612195,2.108540427,-2.078086002,0.030454425,0.558526823,2.378354023,2.936880846,5.445737243,5.031407055,0.414330188,0.783005799,2.400458465,3.183464264,-0.453077108
